NAMA,PAKET,HARGA,DESKRIPSI_FASILITAS,ALAMAT,KOTA,LATITUDE,LONGITUDE
Kusuma Ayu Wedding ,Paket Rumahan 1,IDR 13.000.000,"Tenda fulldekor  4 unit, Dekor kuade 4-6m bunga segar,Karpet Jalan,Gate/pergola,Handbuket,Pundi uang,Penjor, Video liputan, Foto liputan 100 lembar cetak 4R, all softfile, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Buku tamu + bolpoin 2","BP Wetan, Jl.Seruni No.7, Sumberrejo, Pulopancikan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61111",Gresik,-7.166169,112.657031
Kusuma Ayu Wedding ,Paket Rumahan 2,IDR 34.500.000,"Taman depan kuade,  Gazebo Pintu Masuk (Wedding Gate)
Dekorasi Pelaminan Sentris 18m2 (bunga basah), Meja Penerima Tamu 2 Buah,Tirai tutup dinding 100m2,  Kipas Angin Blower Air 2 Buah, Standing Foto 2 Buah, Pemanas Makanan dan Nasi Roll-top 1 set (6 Buah), Piring, Sendok, Garpu 200 Buah, Meja Gubuk-an 3 Buah, Master Foto, Janur 2 Buah, Buku Tamu 2 Buah + bolpoin, Photografi 1 album, Gapura Masuk, Sound System, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Rias & Busana Keluarga 2 orang, Organ tunggal (lengkap), Kotak uang 2 buah, catering 300 porsi, ","BP Wetan, Jl.Seruni No.7, Sumberrejo, Pulopancikan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61112",Gresik,-7.166169,112.657031
Kusuma Ayu Wedding ,Paket Gedung A,IDR 44.500.000,"Taman Pelaminan (Mini Garden),  Gazebo Pintu Masuk (Wedding Gate), Dekorasi Pelaminan Kuade 12m (bunga segar), Meja Penerima Tamu 2 Buah,Handbuket, Kipas Angin Blower Air 2 Buah, Standing Foto 2 Buah, Pemanas Makanan dan Nasi Roll-top 1 set (6 Buah), Piring, Sendok, Garpu 200 Buah, Meja Gubuk-an 3 Buah, Master Foto, Janur 2 Buah, Buku Tamu 2 Buah, Photografi 1 album,Dekor booth, pagar jalan 4, Sound System, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Rias & Busana Keluarga 2 orang, Organ tunggal (lengkap), Kotak uang 2 buah, catering 360 porsi, buffet keluarga 40 porsi","BP Wetan, Jl.Seruni No.7, Sumberrejo, Pulopancikan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61113",Gresik,-7.166169,112.657031
Kusuma Ayu Wedding ,Paket Gedung B,IDR 61.000.000,"Dekorasi spesial 12m, pelaminan, taman, penjor,kotak sumbangan, karpet jalan, standing flower, welcome gate/pergola, Dekorasi photoboth, Rias sepasang pengantin+ busana akad dan busana resepsi, Rias sepasang ortu dan besan + busana, Rias buku tamu 2 + busana, Rias among tamu 2 pasang +busana, Foto video shooting, cetak 4R=120 file, 12R+figura, all foto CD, CD video, video cinematic, Undangan dan souvenir 200 pcs (total senilai @Rp 5000), Catering 800 pax  senilai 31.500, Gubug 300 pax: pecel/gado2/bakmi goreng/dll @7500, Gubug =300 pax: bakso/sate ayam/pempek/siomay/dll @8500,  catering keluarga 50 pax, free undangan digital pernikahan, free meja akad, buku tamu + bolpen 2, electone 1 penyanyi, mobil pengantin standar, Foto Prewedding Indoor , make up, file foto , 10R=5, 12 R 2+frame","BP Wetan, Jl.Seruni No.7, Sumberrejo, Pulopancikan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61113",Gresik,-7.166169,112.657031
Jaehan Wedding,Paket Paras Rumah 1,IDR 31.500.000,"Dekorasi Pelaminan eksklusif 12m (bunga basah), Taman Pelaminan (Mini Garden), Gazebo Pintu Masuk (Wedding Gate), Meja Penerima Tamu 2 Buah,Tirai tutup dinding 100m2,  Kipas Angin Blower Air 2 Buah, Standing Foto 2 Buah, Pemanas Makanan dan Nasi Roll-top 1 set (6 Buah), Piring, Sendok, Garpu 200 Buah, Meja Gubuk-an 3 Buah, Master Foto, Janur 2 Buah, Buku Tamu 2 Buah, Photografi 1 album, Gapura Masuk, Dekor photobooth, Handbucket, Sound System, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Penjaga Prasmanan, Organ tunggal (lengkap)","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61121",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Paras Rumah 2,IDR 28.700.000,"Dekorasi Standar 8 m, pelaminan, taman, penjor,kotak sumbangan, karpet jalan, standing flower, welcome gate/pergola, Rias sepasang pengantin+ busana akad dan busana resepsi, Rias sepasang ortu dan besan + busana, Rias penjaga buku tamu 2 + busana, Rias keluarga 2 orang + busana Foto video shooting, cetak 4R=120 file, 12R+figura, all foto CD, CD video, Catering 400 pax  senilai 26.000, Snack jajan pasar 2 tambir,   free meja akad, buku tamu +bolpen","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61122",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Paras Rumah 3,IDR 26.500.000,"Dekorasi Standar 5 m, pelaminan, taman, penjor,kotak sumbangan, karpet jalan, standing flower, welcome gate/pergola, Rias sepasang pengantin+ busana akad dan busana resepsi, Rias sepasang ortu dan besan + busana, Rias buku tamu 2 + busana, sewa + hias kotak seserahan (40k/box) 7 kotak, Foto video shooting, cetak 4R=120 file, 12R+figura, all foto CD, CD video, Catering 300 pax  senilai 26.000, Snack jajan pasar 1 tambir,   free meja akad, buku tamu +bolpen 2","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61123",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Gedung Sil,IDR 44.900.000,"Taman Pelaminan (Mini Garden), Gazebo Pintu Masuk (Wedding Gate)
Dekorasi Pelaminan Premium 12m (bunga basah), Meja Penerima Tamu 2 Buah,Tirai tutup dinding 100m2,  Kipas Angin Blower Air 2 Buah, Standing Foto 2 Buah, Pemanas Makanan dan Nasi Roll-top 1 set (6 Buah), Piring, Sendok, Garpu 200 Buah, Meja Gubuk-an 3 Buah, Master Foto, Janur 2 Buah, Buku Tamu 2 Buah, Photografi 1 album, Gapura Masuk, Sound System, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Rias & Busana Keluarga 2 orang, Organ tunggal (lengkap), Kotak uang 2 buah, catering 400 porsi, buffet keluarga 40 porsi","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61124",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Gedung Gol,IDR 49.900.000,"Mini Garden daerah kuade, Gazebo Pintu Masuk (Wedding Gate), Dekorasi Pelaminan Premium 12m (bunga basah), Meja Penerima Tamu 2 Buah,Tirai tutup dinding 100m2,  Kipas Angin Blower Air 2 Buah, Standing Foto 2 Buah, Pemanas Makanan dan Nasi Roll-top 1 set (6 Buah), Piring, Sendok, Garpu 200 Buah, Meja Gubuk-an 3 Buah, Master Foto, Janur 2 Buah, Buku Tamu 2 Buah, Photografi 1 album, Gapura Masuk, Sound System, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Rias & Busana Keluarga 2 orang, Organ tunggal (lengkap), Kotak uang 2 buah, catering 400 porsi, buffet keluarga 40 porsi, kotak seserahan + hias harga (40k/box) 10 kotak","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61125",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Gedung Pal,IDR 55.900.000,"Dekorasi premium, taman pelaminan, taman, penjor,kotak sumbangan, karpet jalan, standing flower, welcome gate/pergola, Dekorasi photoboth, Rias sepasang pengantin+ busana akad dan busana resepsi, Rias sepasang ortu dan besan + busana, Rias buku tamu 2 + busana, Rias among tamu 2 pasang +busana, Foto video shooting, cetak 4R=120 file, 12R+figura, all foto CD, CD video, Undangan dan souvenir 200 pcs (total senilai @Rp 5000), Catering 400 pax  senilai 31.500, Gubug 200 pax: pecel/gado2/bakmi goreng/dll @7500, Gubug =200 pax: bakso/sate ayam/pempek/siomay/dll @8500,  catering keluarga 20 pax, free undangan digital pernikahan, free meja akad, buku tamu +bolpen, electone, mobil pengantin standar, Foto Prewedding Indoor , make up, file foto , 10R=5, 12 R 2+frame,  kotak seserahan sekalian hias (50k/box) 11 kotak, handbucket ","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61126",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Gedung Dai,IDR 69.900.000,"Catering porsi 1000 Orang, Dekorasi Catering (Es carving 2 huruf + es tray, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 6 buah,Bunga dimeja penerima tamu, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Rias dan busana keluarga 4 orang, Pelaminan modifikasi,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Foto 2 album ekslusif ( digital ), Video shuting 2 x acara, buku tamu + bolpoin 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 80 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, Cetak Foto 1 Album, Kotak seserahan sekalian hias (50k/box) 12 kotak","Jl. Sumatra No.37, Setingi, Randuagung, Kec. Kebomas, Kabupaten Gresik, Jawa Timur 61127",Gresik,-7.155832,112.615154
Jaehan Wedding,Paket Nakula,IDR 65.500.000,"Catering porsi 1000 Orang, Dekorasi Catering (Es carving 2 huruf + es tray, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Bunga dimeja penerima tamu, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Rias dan busana keluarga 4 orang, Pelaminan modifikasi,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Foto 2 album ekslusif ( digital ), Video shuting 2 x acara, buku tamu + bolpoin 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 80 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, Cetak Foto 1 Album, Handbucket, Kotak seserahan sekalian hias (50k/box) 11 kotak","Jl. Samanhudi No.64, Kroman, Pekelingan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61115",Gresik,-7.15331,112.65445
Jaehan Wedding,Paket Sadewa,IDR 69.700.000,"Catering porsi 1000 Orang, Dekorasi Catering (Es carving 2 huruf + es tray, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Bunga dimeja penerima tamu, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Rias dan busana keluarga 4 pasang, Pelaminan modifikasi,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Foto 2 album ekslusif ( digital ), Video shuting 2 x acara, buku tamu + bolpoin 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 80 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, Cetak Foto 2 Album, Handbucket, Kotak seserahan sekalian hias (50k/box) 12 kotak","Jl. Samanhudi No.64, Kroman, Pekelingan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61116",Gresik,-7.15331,112.65445
Jaehan Wedding,Paket Bima,IDR 82.900.000,"Catering porsi 1500 Orang, Dekorasi Catering, Hotel Cassa, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 6 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang, Pagar ayu + pagar bagus 6 orang, Keluarga 4 pasang, Pelaminan modifikasi 12 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Band, Sound System, Buffe keluarga pengantin 80 porsi, Dekor photobooth, Cd liputan 1 keping, Video transfer ke DVD, Album Magnetik, Foto studio mini di tempat acara, Video Cinematic, flashdisk semua isi file foto dan video, Cetak foto 2 Album,Kotak seserahan sekalian hias (50k/box) 15 kotak Digital Invitation, Room 1 Night for 1, Mobil Pengantin Mercedes Benz C-Class W203","Jl. Samanhudi No.64, Kroman, Pekelingan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61117",Gresik,-7.15331,112.65445
Jaehan Wedding,Paket Arjuna,IDR 90.900.000,"Catering porsi 1500 Orang, Dekorasi Catering, Hotel Mewah, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 6 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang, Pagar ayu + pagar bagus 6 orang, Keluarga 4 pasang, Pelaminan modifikasi 12 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Band, Sound System, Buffe keluarga pengantin 80 porsi, Dekor photobooth, Cd liputan 1 keping, Video transfer ke DVD, Album Magnetik, Foto studio mini di tempat acara, Video Cinematic, flashdisk semua isi file foto dan video, Cetak foto 3 Album, Handbucket, Kotak seserahan sekalian hias (60k/box) 15 kotak, Souvenir 300 pcs, Digital Invitation, Room 1 Night for 1, Mobil Pengantin Mercedes Benz C-Class W203","Jl. Samanhudi No.64, Kroman, Pekelingan, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61118",Gresik,-7.15331,112.65445
NDD Wedding,Paket Khaliqa,IDR 12.800.000,"Tenda fulldekor VIP 4 unit, Dekor kuade 4-6m bunga segar,Karpet jln,Gate/pergola,Handbuket,Pundi uang,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60181",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Arafah,IDR 18.200.000,"Tenda fulldekor VIP 4 unit, Dekor kuade 5m bunga segar,Karpet jalan,Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang ","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60182",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Mustika,IDR 19.000.000,"Tenda fulldekor VIP 4 unit, Dekor kuade 6m bunga segar,Karpet jalan,Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang, Buku Tamu + Bolpoin 2","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60183",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Ratu,IDR 23.200.000,"Tenda fulldekor VIP 4 unit, Dekor kuade 6m bunga segar,Karpet jalan,Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang, Melati Ronce Sederhana, Welcome Sign, Buku Tamu + Bolpoin 2","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60184",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Mulia,IDR 27.200.000,"Tenda fulldekor VIP 4 unit, Dekor kuade 6m bunga segar,Karpet jalan, Taman depan Kuade, Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang, Melati Ronce Sederhana, Welcome Sign, Buku Tamu + Bolpoin 2, MC Akad dan resepsi, Kipas Blower 1","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60185",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Raja,IDR 34.200.000,"Tenda fulldekor VIP 6 unit, Dekor kuade 8m bunga segar,Karpet jalan, Taman depan Kuade, Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti, Busana + rias Pendamping orang tua 2 pasang, Busana + rias Pengapit / pasundan 4 orang, Busana + rias Penerima tamu 4 orang, Melati Ronce Sederhana, Welcome Sign, Buku Tamu + Bolpoin 2, MC Akad dan resepsi, Kipas Blower 1, Seserahan 8 box (40k/box), Buku tamu + bolpoin 2","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60186",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Ratu,IDR 35.200.000,"Tenda fulldekor VIP 6 unit, Dekor kuade 8m bunga segar,Karpet jalan, Taman depan Kuade, Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Cetak Foto 16R + Pigura, Soundsystem standart, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti, Busana + rias Pendamping orang tua 2 pasang, Busana + rias Pengapit / pasundan 4 orang, Busana + rias Penerima tamu 4 orang, Busana + rias Keluarga 4 orang, Melati Ronce, Welcome Sign, Buku Tamu + Bolpoin 2, MC Akad dan resepsi, Kipas Blower 1, lighting, Seserahan 10 box (40k/box), Buku tamu + bolpoin 2","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60187",Surabaya,-7.253894,112.712326
NDD Wedding,Paket Quen,IDR 48.200.000,"Tenda fulldekor VIP 7 unit, Dekor kuade 9m bunga segar,Karpet jalan, Taman depan Kuade, Gate/pergola,Handbuket,Pundi uang 2,Penjor, Video liputan, Foto liputan 100 lmbr ctk 4R dgn all data softcopy, Cetak Foto 16R + Pigura, Soundsystem standart, organ tunggal + 1 penyanyi, Meja tamu + cover 10bj, Kursi tamu + cover 100bj, Busana + rias akad dan resepsi Pengantin 2 kali ganti, Busana + rias Pendamping orang tua 2 pasang, Busana + rias Pengapit / pasundan 4 orang, Busana + rias Penerima tamu 4 orang, Busana + rias Keluarga 4 orang, Melati Ronce, Welcome Sign, Buku Tamu + Bolpoin 2, MC Akad dan resepsi, Kipas Blower 1, lighting, Seserahan 10 box (40k/box), Buku tamu + bolpoin 2, Souvenir 60 pcs, 3 Menu Buffet","Jl. Simo Rejo II No.66, Simomulyo, Kec. Sukomanunggal, Kota SBY, Jawa Timur 60188",Surabaya,-7.253894,112.712326
Queen Bee Wedding,Paket Melati,IDR 20.500.000,"Pelaminan rumah 5 meter, panggung (t=40 cm) + karpet panggung, Sofa Pelaminan + 4 Kursi Ortu, Penjor dan pregola (pintu masuk), Taman depan, pelaminan, Standing flower (bunga hidup) + Lampu Sorot, Janur kembar mayang (4 unit), Tombang Pundi Uang (2 unit), Rias akad nikah dan temu Manten, Rias resepsi + Busana pengantin (3 pasang) – dipinjamkan, Rias dan busana ibu pengantin dan ibu besan (2 orang), Rias dan busana untuk among tamu (2 orang), Rias dan busana untuk pagar ayu (2 orang)
Busana beskap untuk bapak dan bapak besan (2 orang), Busana beskap untuk pagar bagus (2 orang), Ronce melati segar lengkap untuk pengantin , Bando melati segar buat ibu dan ibu besan, 1 Paket Album Megazine, 1 Album exclusive cetak , Video (Akad & Resepsi), ","Jl. Raya Canggu, RT.01/RW.02, Kedung Sumur, Canggu, Kec. Jetis, Mojokerto, Jawa Timur 61352",Mojokerto,-7.425577,112.464194
Queen Bee Wedding,Paket Mawar,IDR 23.500.000,"Pelaminan rumah 5 meter, panggung (t=40 cm) + karpet panggung, Sofa Pelaminan + 4 Kursi Ortu, Penjor dan pregola (pintu masuk), Taman depan, pelaminan, Standing flower (bunga hidup) + Lampu Sorot, Janur kembar mayang (4 unit), Tombang Pundi Uang (2 unit), Dekorasi Meja Akad + Taplak + Bunga + Bantalan, Rias akad nikah dan temu Manten, Rias resepsi + Busana pengantin (3 pasang) – dipinjamkan, Rias dan busana ibu pengantin dan ibu besan (2 orang), Rias dan busana untuk among tamu (2 orang), Rias dan busana untuk pagar ayu (2 orang), Rias dan busana untuk keluarga 2 orang, 
Busana beskap untuk bapak dan bapak besan (2 orang), Busana beskap untuk pagar bagus (2 orang), Ronce melati segar lengkap untuk pengantin , Bando melati segar buat ibu dan ibu besan, 1 Paket Album Megazine, 1 Album exclusive cetak , Video (Akad & Resepsi), ","Jl. Raya Canggu, RT.01/RW.02, Kedung Sumur, Canggu, Kec. Jetis, Mojokerto, Jawa Timur 61353",Mojokerto,-7.425577,112.464194
Queen Bee Wedding,Paket Tulip,IDR 26.500.000,"Pelaminan rumah 7 meter, panggung (t=40 cm) + karpet panggung, Sofa Pelaminan + 4 Kursi Ortu, Penjor dan pregola (pintu masuk), Taman depan, pelaminan, Standing flower (bunga hidup) + Lampu Sorot, Janur kembar mayang (4 unit), Tombang Pundi Uang (2 unit), Dekorasi Meja Akad + Taplak + Bunga + Bantalan, Rias akad nikah dan temu Manten, Rias resepsi + Busana pengantin (3 pasang) – dipinjamkan, Rias dan busana ibu pengantin dan ibu besan (2 orang), Rias dan busana untuk among tamu (2 orang), Rias dan busana untuk pagar ayu (2 orang), Rias dan busana untuk keluarga 2 orang, 
Busana beskap untuk bapak dan bapak besan (2 orang), Busana beskap untuk pagar bagus (2 orang), Ronce melati segar lengkap untuk pengantin , Bando melati segar buat ibu dan ibu besan, 1 Paket Album Megazine, 1 Album exclusive cetak , Video (Akad & Resepsi), Dekorasi Kamar Pengantin, Handbucket, Soundsystem standar","Jl. Raya Canggu, RT.01/RW.02, Kedung Sumur, Canggu, Kec. Jetis, Mojokerto, Jawa Timur 61354",Mojokerto,-7.425577,112.464194
Queen Bee Wedding,Paket Turi,IDR 30.000.000,"Pelaminan rumah 7 meter, panggung (t=40 cm) + karpet panggung, Sofa Pelaminan + 4 Kursi Ortu, Penjor dan pregola (pintu masuk), Taman depan  pelaminan, Standing flower (bunga hidup) + Lampu Sorot, Janur kembar mayang (4 unit), Tombang Pundi Uang (2 unit), Dekorasi Meja Akad + Taplak + Bunga + Bantalan, Rias akad nikah dan temu Manten, Rias resepsi + Busana pengantin (3 pasang) – dipinjamkan, Rias dan busana ibu pengantin dan ibu besan (2 orang), Rias dan busana untuk among tamu (2 orang), Rias dan busana untuk pagar ayu (2 orang), Rias dan busana untuk keluarga 2 orang, 
Busana beskap untuk bapak dan bapak besan (2 orang), Busana beskap untuk pagar bagus (2 orang), Ronce melati segar lengkap untuk pengantin , Bando melati segar buat ibu dan ibu besan, 1 Paket Album Megazine, 1 Album exclusive cetak , Video (Akad & Resepsi), Dekorasi Kamar Pengantin, Handbucket, Soundsystem standar, Organ tunggal + 1 penynyi, MC ","Jl. Raya Canggu, RT.01/RW.02, Kedung Sumur, Canggu, Kec. Jetis, Mojokerto, Jawa Timur 61355",Mojokerto,-7.425577,112.464194
Adji Wedding,Paket  A1,IDR 26.300.000,"Catering untuk 90 orang, Rias&baju pengantin Akad 1, resepsi 2,Kalung Melati, Rias&baju Ibu Hajat dan Ibu Besan, Baju Bapak Hajat dan Besan, Rias&baju Penjaga buku tamu 4 orang, Foto & Video Liputan Akad serta resepsi, 2 Album Kolase, 1 Foto 16R + Frame, DVD Video Liputan, CD Soft fIle, Tenda VIP 3 Slayer, Dekorasi Pelaminan,Meja Tamu dan rangkaian bunga, Gazebo Masuk, Karpet Jalan, Taman pelaminan, Janur Kuning 2 Buah","34, Jl. Joyoboyo No.36, Sawunggaling, Kec. Wonokromo, Kota SBY, Jawa Timur 60242",Surabaya,-7.298792,112.732136
Adji Wedding,Paket A2,IDR 30.000.000,"Catering untuk 100 orang, Rias&baju pengantin Akad 1, resepsi 2,Kalung Melati, Rias&baju Ibu Hajat dan Ibu Besan, Baju Bapak Hajat dan Besan, Rias&baju Penjaga buku tamu 4 orang, Rias&baju Among tamu 4 orangFoto & Video Liputan Akad serta resepsi, 2 Album Kolase, 1 Foto 16R + Frame, DVD Video Liputan, CD Soft fIle, Tenda VIP 3 Slayer, Dekorasi Pelaminan,Meja Tamu dan rangkaian bunga, Gazebo Masuk, Karpet Jalan, Taman pelaminan, Janur Kuning 2 Buah, Buku Tamu + Bolpoin 2, Backdrop kain penerima tamu","34, Jl. Joyoboyo No.36, Sawunggaling, Kec. Wonokromo, Kota SBY, Jawa Timur 60243",Surabaya,-7.298792,112.732136
